*wormbook
author	chapter	editor	book	publisher	date	issn	doi	url
Holden-Dye, Lindy//Walker, Robert J.	Anthelmintic drugs	The C. elegans Research Community	WormBook	WormBook	November 02, 2007	1551-8507	10.1895/wormbook.1.143.1	http://www.wormbook.org
Collins, James J.//Huang, Cheng//Hughes, Stacie//Kornfeld, Kerry	The measurement and analysis of age-related changes in Caenorhabditis elegans	The C. elegans Research Community	WormBook	WormBook	January 24, 2008	1551-8507	10.1895/wormbook.1.137.1	http://www.wormbook.org
Gartner, Anton//Boag, Peter R.//Blackwell, T. Keith	Germline survival and apoptosis	The C. elegans Research Community	WormBook	WormBook	September 4, 2008	1551-8507	10.1895/wormbook.1.145.1	http://www.wormbook.org
Li, Chris//Kim, Kyuhyung	Neuropeptides	The C. elegans Research Community	WormBook	WormBook	September 25, 2008	1551-8507	10.1895/wormbook.1.142.1	http://www.wormbook.org
Braeckman, Bart P.//Houthoofd, Koen//Vanfleteren, Jacques R.	Intermediary metabolism	The C. elegans Research Community	WormBook	WormBook	February 16, 2009	1551-8507	10.1895/wormbook.1.146.1	http://www.wormbook.org
Melendez, Alicia//Levined, Beth	Autophagy in C. elegans	The C. elegans Research Community	WormBook	WormBook	August 24, 2009	1551-8507	10.1895/wormbook.1.147.1	http://www.wormbook.org
Merritt, Christopher//Gallo, Christopher M.//Rasoloson, Dominique//Seydoux, Geraldine	Transgenic solutions for the germline	The C. elegans Research Community	WormBook	WormBook	February 8, 2010	1551-8507	10.1895/wormbook.1.148.1	http://www.wormbook.org
Cutter, Asher D.	Molecular evolution inferences from the C. elegans genome	The C. elegans Research Community	WormBook	WormBook	March 5, 2010	1551-8507	10.1895/wormbook.1.149.1	http://www.wormbook.org
McIntire, Steven L.	Ethanol	The C. elegans Research Community	WormBook	WormBook	April 29, 2010	1551-8507	10.1895/wormbook.1.40.1	http://www.wormbook.org
Hobert, Oliver	Neurogenesis in the nematode Caenorhabditis elegans	The C. elegans Research Community	WormBook	WormBook	October 4, 2010	1551-8507	10.1895/wormbook.1.12.2	http://www.wormbook.org
Zahler, Alan M.	Pre-mRNA splicing and its regulation in Caenorhabditis elegans	The C. elegans Research Community	WormBook	WormBook	March 21, 2012	1551-8507	10.1895/wormbook.1.31.2	http://www.wormbook.org
Avery, Leon//You, Young-Jai	C. elegans feeding	The C. elegans Research Community	WormBook	WormBook	May 21, 2012	1551-8507	10.1895/wormbook.1.150.1	http://www.wormbook.org
Blumenthal, Thomas	Trans-splicing and operons in C. elegans	The C. elegans Research Community	WormBook	WormBook	November 20, 2012	1551-8507	10.1895/wormbook.1.5.2	http://www.wormbook.org
Miller, Michael A.//Chin-Sang, Ian D.	Eph receptor signaling in C. elegans	The C. elegans Research Community	WormBook	WormBook	November 29, 2012	1551-8507	10.1895/wormbook.1.151.1	http://www.wormbook.org
Gupta, Bhagwati P.//Hanna-Rose, Wendy//Sternberg, Paul W.	Morphogenesis of the vulva and the vulval-uterine connection	The C. elegans Research Community	WormBook	WormBook	November 30, 2012	1551-8507	10.1895/wormbook.1.152.1	http://www.wormbook.org
Ji, Ni//van Oudenaarden, Alexander	Single molecule fluorescent in situ hybridization (smFISH) of C. elegans worms and embryos	The C. elegans Research Community	WormBook	WormBook	December 13, 2012	1551-8507	10.1895/wormbook.1.153.1	http://www.wormbook.org
Raizen, David//Song, Bo-mi//Trojanowski, Nick//You, Young-Jai	Methods for measuring pharyngeal behaviors	The C. elegans Research Community	WormBook	WormBook	December 18, 2012	1551-8507	10.1895/wormbook.1.154.1	http://www.wormbook.org
Greenwald, Iva//Kovall, Rhett	Notch signaling: genetics and structure	The C. elegans Research Community	WormBook	WormBook	January 17, 2013	1551-8507	10.1895/wormbook.1.10.2	http://www.wormbook.org
Ludewig, Andreas H.//Schroeder, Frank C.	Ascaroside signaling in C. elegans	The C. elegans Research Community	WormBook	WormBook	January 18, 2013	1551-8507	10.1895/wormbook.1.155.1	http://www.wormbook.org
Husson, Steven J.//Costa1, Wagner Steuer//Schmitt, Cornelia//Gottschalk, Alexander	Keeping track of worm trackers	The C. elegans Research Community	WormBook	WormBook	September 10, 2012	1551-8507	10.1895/wormbook.1.156.1	http://www.wormbook.org
Zhang, Sihui//Kuhn, Jeffrey R.	Cell isolation and culture	The C. elegans Research Community	WormBook	WormBook	February 21, 2013	1551-8507	10.1895/wormbook.1.157.1	http://www.wormbook.org
Pires da Silva, Andre	Pristionchus pacificus protocols	The C. elegans Research Community	WormBook	WormBook	March 14, 2013	1551-8507	10.1895/wormbook.1.114.2	http://www.wormbook.org
Reinke, Valerie//Krause, Michael//Okkema, Peter	Transcriptional regulation of gene expression in C. elegans	The C. elegans Research Community	WormBook	WormBook	June 4, 2013	1551-8507	10.1895/wormbook.1.45.2	http://www.wormbook.org
