*wormbook
author	chapter	editor	book	publisher	date	issn	doi	url
Salkoff, L.// Wei, A.D.//Baban, B.//Butler, A.//Fawcett, G.//Ferreira, G.//Santi, C.M.	Potassium channels in C. elegans	The C. elegans Research Community	WormBook	WormBook	December 30, 2005	1551-8507	10.1895/wormbook.1.42.1	http://www.wormbook.org
Richmond, Janet	Synaptic function	The C. elegans Research Community	WormBook	WormBook	December 7, 2007	1551-8507	10.1895/wormbook.1.69.1	http://www.wormbook.org
Jorgensen, Erik M.	GABA	The C. elegans Research Community	WormBook	WormBook	August 31, 2005	1551-8507	10.1895/wormbook.1.14.1	http://www.wormbook.org
Brockie, Penelope J.//Maricq, Andres V.	Ionotropic glutamate receptors: genetics, behavior and electrophysiology	The C. elegans Research Community	WormBook	WormBook	January 19, 2006	1551-8507	10.1895/wormbook.1.61.1	http://www.wormbook.org
Barr, Maureen M.//Garcia, L. Rene	Male mating behavior	The C. elegans Research Community	WormBook	WormBook	June 19, 2006	1551-8507	10.1895/wormbook.1.78.1	http://www.wormbook.org
Schafer, William R.	Egg-laying	The C. elegans Research Community	WormBook	WormBook	December 14, 2005	1551-8507	10.1895/wormbook.1.38.1	http://www.wormbook.org
Goodman, Miriam B.	Mechanosensation	The C. elegans Research Community	WormBook	WormBook	January 06, 2006	1551-8507	10.1895/wormbook.1.62.1	http://www.wormbook.org
Fitch, David H. A.	Introduction to nematode evolution and ecology	The C. elegans Research Community	WormBook	WormBook	August 31, 2005	1551-8507	10.1895/wormbook.1.19.1	http://www.wormbook.org
De Ley, Paul	A quick tour of nematode diversity and the backbone of nematode phylogeny	The C. elegans Research Community	WormBook	WormBook	January 25, 2006	1551-8507	10.1895/wormbook.1.41.1	http://www.wormbook.org
Kiontke, Karin//Fitch, David H. A.	The phylogenetic relationships of Caenorhabditis and other rhabditids	The C. elegans Research Community	WormBook	WormBook	August 11, 2005	1551-8507	10.1895/wormbook.1.11.1	http://www.wormbook.org
Coghlan, Avril	Nematode genome evolution	The C. elegans Research Community	WormBook	WormBook	September 07, 2005	1551-8507	10.1895/wormbook.1.15.1	http://www.wormbook.org
Sommer, Ralf J.	Evolution of development in nematodes related to C. elegans	The C. elegans Research Community	WormBook	WormBook	December 14, 2005	1551-8507	10.1895/wormbook.1.46.1	http://www.wormbook.org
Barriere, Antoine//Felix, Marie-Anne	Natural variation and population genetics of Caenorhabditis elegans	The C. elegans Research Community	WormBook	WormBook	December 26, 2005	1551-8507	10.1895/wormbook.1.43.1	http://www.wormbook.org
Kiontke, Karin//Sudhaus, Walter	Ecology of Caenorhabditis species	The C. elegans Research Community	WormBook	WormBook	January 09, 2006	1551-8507	10.1895/wormbook.1.37.1	http://www.wormbook.org
Darby, Creg	Interactions with microbial pathogens	The C. elegans Research Community	WormBook	WormBook	September 6, 2005	1551-8507	10.1895/wormbook.1.21.1	http://www.wormbook.org
Hart (ed.), Anne C.	Behavior	The C. elegans Research Community	WormBook	WormBook	July 3, 2006	1551-8507	10.1895/wormbook.1.87.1	http://www.wormbook.org
Walhout (ed.), Albertha J. M.//Boulton (ed.), Simon J.	Biochemistry and molecular biology	The C. elegans Research Community	WormBook	WormBook	February 13, 2006	1551-8507	10.1895/wormbook.1.86.1	http://www.wormbook.org
Fay, David	Genetic mapping and manipulation: Chapter 1-Introduction and basics	The C. elegans Research Community	WormBook	WormBook	February 17, 2006	1551-8507	10.1895/wormbook.1.90.1	http://www.wormbook.org
Fay, David	Genetic mapping and manipulation: Chapter 2-Two-point mapping with genetic markers	The C. elegans Research Community	WormBook	WormBook	February 17, 2006	1551-8507	10.1895/wormbook.1.91.1	http://www.wormbook.org
Fay, David	Genetic mapping and manipulation: Chapter 2-Two-point mapping with genetic markers	The C. elegans Research Community	WormBook	WormBook	June 14, 2006	1551-8507	10.1895/wormbook.1.91.2	http://www.wormbook.org
Fay, David	Genetic mapping and manipulation: Chapter 3-Three-point mapping with genetic markers	The C. elegans Research Community	WormBook	WormBook	February 17, 2006	1551-8507	10.1895/wormbook.1.92.1	http://www.wormbook.org
Fay, David//Bender, Aaron	Chapter 4-SNPs: Introduction and two-point mapping	The C. elegans Research Community	WormBook	WormBook	February 17, 2006	1551-8507	10.1895/wormbook.1.93.1	http://www.wormbook.org
Fay, David//Bender, Aaron	SNPs: Introduction and two-point mapping	The C. elegans Research Community	WormBook	WormBook	September 25, 2008	1551-8507	10.1895/wormbook.1.93.2	http://www.wormbook.org
Fay, David	Genetic mapping and manipulation: Chapter 5-SNPs: Three-point mapping	The C. elegans Research Community	WormBook	WormBook	February 17, 2006	1551-8507	10.1895/wormbook.1.94.1	http://www.wormbook.org
Fay, David	Genetic mapping and manipulation: Chapter 6-Mapping with deficiencies and duplications	The C. elegans Research Community	WormBook	WormBook	February 17, 2006	1551-8507	10.1895/wormbook.1.95.1	http://www.wormbook.org
Fay, David	Genetic mapping and manipulation: Chapter 6-Mapping with deficiencies and duplications	The C. elegans Research Community	WormBook	WormBook	June 14, 2006	1551-8507	10.1895/wormbook.1.95.2	http://www.wormbook.org
Fay, David	Genetic mapping and manipulation: Chapter 7-Making compound mutants	The C. elegans Research Community	WormBook	WormBook	February 17, 2006	1551-8507	10.1895/wormbook.1.96.1	http://www.wormbook.org
Fay, David	Genetic mapping and manipulation: Chapter 7-Making compound mutants	The C. elegans Research Community	WormBook	WormBook	June 14, 2006	1551-8507	10.1895/wormbook.1.96.2	http://www.wormbook.org
Fay, David//Spencer, Andy	Genetic mapping and manipulation: Chapter 8-Dominant mutations	The C. elegans Research Community	WormBook	WormBook	February 17, 2006	1551-8507	10.1895/wormbook.1.97.1	http://www.wormbook.org
Fay, David	Genetic mapping and manipulation: Chapter 9-Synthetic and enhancer mutations	The C. elegans Research Community	WormBook	WormBook	February 17, 2006	1551-8507	10.1895/wormbook.1.98.1	http://www.wormbook.org
Fay, David//Johnson, Wade	Genetic mapping and manipulation: Chapter 10-Suppressor mutations	The C. elegans Research Community	WormBook	WormBook	February 17, 2006	1551-8507	10.1895/wormbook.1.99.1	http://www.wormbook.org
Yochem, John	Nomarski images for learning the anatomy, with tips for mosaic analysis	The C. elegans Research Community	WormBook	WormBook	January 24, 2006	1551-8507	10.1895/wormbook.1.100.1	http://www.wormbook.org
Huang, Linda//Sternberg, Paul W.	Genetic dissection of developmental pathways	The C. elegans Research Community	WormBook	WormBook	May 16, 2006	1551-8507	10.1895/wormbook.1.88.1	http://www.wormbook.org
Huang, Linda//Sternberg, Paul W.	Genetic dissection of developmental pathways	The C. elegans Research Community	WormBook	WormBook	June 14, 2006	1551-8507	10.1895/wormbook.1.88.2	http://www.wormbook.org
Stiernagle, Theresa	Maintenance of C. elegans	The C. elegans Research Community	WormBook	WormBook	February 11, 2006	1551-8507	10.1895/wormbook.1.101.1	http://www.wormbook.org
Edgley, Mark K.//Baillie, David L.//Riddle, Donald L.//Rose, Ann M.	Genetic balancers	The C. elegans Research Community	WormBook	WormBook	April 6, 2006	1551-8507	10.1895/wormbook.1.89.1	http://www.wormbook.org
Boulin, Thomas//Etchberger, John F.//Hobert, Oliver	Reporter gene fusions	The C. elegans Research Community	WormBook	WormBook	April 5, 2006	1551-8507	10.1895/wormbook.1.106.1	http://www.wormbook.org
Lee, Min-Ho//Schedl, Tim	RNA in situ hybridization of dissected gonads	The C. elegans Research Community	WormBook	WormBook	June 14, 2006	1551-8507	10.1895/wormbook.1.107.1	http://www.wormbook.org
Motohashi, Tomoko//Tabara, Hiroaki//Kohara, Yuji	Protocols for large scale in situ hybridization on C. elegans larvae	The C. elegans Research Community	WormBook	WormBook	July 24, 2006	1551-8507	10.1895/wormbook.1.103.1	http://www.wormbook.org
Duerr, Janet S.	Immunohistochemistry	The C. elegans Research Community	WormBook	WormBook	June 19, 2006	1551-8507	10.1895/wormbook.1.105.1	http://www.wormbook.org
